name,gender,meaning
Bhuvanesh,Male,lord of the world
Bhuvaneshwar,Male,lord of the world
Bibek,Male,Conscience; Discrimination
Bijal,Male,lightning
Bilva,Male,a sacred leaf
Bimal,Male,Pure
Bimb,Male,Halo
Bimbisaar,Male,King of the Gupta dynasty
Bindusar,Male,an excellent pearl
Binod,Male,happiness
Bipin,Male,forest (Vipin)
Bir,Male,Courageous
Birbal,Male,Brave heart
Biren,Male,Lord of warriors
Birendra,Male,King of Warriors
Birju,Male,Nice Singer
Bisaj,Male,Lotus
Bodhan,Male,kindling
Boudhayan,Male,the name of a sage
Brahma,Male,creater of the universe
Brahmaanand,Male,supreme joy
Brahmabrata,Male,ascetic
Brahmadutt,Male,dedicated to Brahma
Braj,Male,place of Lord Krishna
Brajamohan,Male,name of Lord Krishna
Brajendra,Male,lord of Braj land
Brajesh,Male,lord of Braj land
Brajraaj,Male,king of Braj land
Bramhaghosh,Male,chanting of Vedas
Bramhanand,Male,happiness for knowledge
Bratindra,Male,devoted to right deeds
Brent,Male,Hill top
Brij,Male,Lord Krishna
Brijesh,Male,god of the land 'brij'
Brijmohan,Male,Krishna
Brijkishor,Male,Lord Krishna
Brijnandan,Male,Lord Krishna
Brijraj,Male,The one who rules the nature
Brirar,Male,Without pain
Buddha,Male,"awakened, Lord Buddha"
Buddhadeva,Male,"wise, Gautama Buddha"
Buddhapriya,Male,one liked by Buddha
Budhil,Male,learned
Chaanakya,Male,a great scholar
Chaaruchandra,Male,beautilful moon
Chaarudatt,Male,born of beauty
Chaaruhaas,Male,with beautiful smile
Chahel,Male,Good cheer
Chaitan,Male,consciousness
Chain,Male,Peace
Chaitanya,Male,consciousness
Chakor,Male,a bird that loves the moon
Chakradev,Male,Lord Vishnu
Chakradhar,Male,name of Lord Vishnu
Chakrapaani,Male,name of Lord Vishnu
Chakravartee,Male,a sovereign king
Chakresh,Male,name of Lord Vishnu
Chaman,Male,flowering garden
Chamanlal,Male,garden
Champak,Male,a flower Chanak = father of Chaanakya
Chanchal,Male,active
Chanchareek,Male,bee
Chandak,Male,the moon
Chandan,Male,sandlewood
Chandavarman,Male,an old King
Chandeedaas,Male,name of a saint
Chander,Male,moon
Chandra,Male,moon
Chandrakiran,Male,moon beam
Chandrabhan,Male,the moon
Chandraabhaa,Male,lusture of moon light
Chandraaditya,Male,name of a King
Chandraanan,Male,moon-like face
Chandraayan,Male,the moon
Chandrabhaga,Male,River Chenab
Chandrachur,Male,Lord Shiva
Chandragupt,Male,name of ancient king
Chandrahaas,Male,smiling like a moon
Chandrak,Male,peacock feather
Chandraketu,Male,moon banner
Chandrakin,Male,a peacock
Chandrakishore,Male,the moon
Chandrakumar,Male,the moon
Chandramaadhav,Male,sweet
Chandramauli,Male,Lord Shiva
Chandramohan,Male,attractive like the moon
Chandran,Male,the moon
Chandranath,Male,the moon
Chandrpeed,Male,name of Shiva
Chandraprakaash,Male,moon light
Chandraraj,Male,moonbeam
Chandrashekhar,Male,Lord Shiva
Chandravadan,Male,moon-like face
Chandresh,Male,King of the moon
Chane,Male,"name of a god, dependability"
Chapal,Male,"clever, restless; lightning"
Charak,Male,an ancient physician
Charan,Male,feet
Charanjit,Male,one who has won over the lord
Charudutta,Male,born of beauty
Charusheel,Male,of good character
Charuvrat,Male,of good character
Chatresh,Male,Lord Shiva
Chatur,Male,clever
Chatura,Male,clever
Chaturaanan,Male,with four faces
Chaturbhuj,Male,"strong, broad shouldered"
Chetak,Male,Rana Pratap's horse
Chetan,Male,"consciousness, life"
Chetanaanand,Male,supreme joy
Chhaayank,Male,moon
Chhandak,Male,the charioteer of Lord Buddha
Chidaakaash,Male,absolute Brahma
Chidaatma,Male,supreme spirit
Chidambar,Male,sky like heart
Chidananda,Male,Lord Shiva
Chidhatma,Male,Big Soul
Chiman,Male,Curious
Chinar,Male,Name of a beautiful tree
Chinmay,Male,the supreme being
Chinmayananda,Male,blissful
Chinmayu,Male,Supreme consciousness
Chintak,Male,thinker
Chintan,Male,meditation
Chirag,Male,lamp
Chiranjeev,Male,immortal
Chirantan,Male,ancient
Chitesh,Male,Lord of the soul
Chitragupt,Male,god of destiny
Chitrabhanu,Male,the sun
Chitraketu,Male,with beautiful banner
Chitraksh,Male,beautiful eyed
Chitral,Male,"of multiple colou, painting"
Chitrarath,Male,the sun
Chitrasen,Male,a king of Gandharvas
Chitrabaahu,Male,with beautiful hands
Chittaprasad,Male,happiness
Chittaranjan,Male,joy of inner mind
Chittaswarup,Male,the supreme spirit
Chittesh,Male,lord of the soul
Cholan,Male,a South Indian dynasty
Chudamani,Male,crest jewel
Chulbul,Male,mischievous
Chyavan,Male,name of a saint
Daamodar,Male,a name of Krishna
Daaruk,Male,"charioteer of Krishna, tree"
Daarun,Male,hard Male Hindu
Dahana,Male,a rudra
Daitya,Male,A non Aryan
Daiwik,Male,By the grace of God
Daksh,Male,"a son of Brahma, capable"
Dakshesh,Male,name of Lord Shiva
Dakshi,Male,The glorious
Dakshinayan,Male,some Movement of the Sun
Dalpati,Male,commander of group
Daman,Male,one who controls
Damodar,Male,Lord Krishna
Dandak,Male,a forest
Dandapaani,Male,an epithet for Yama
Danta,Male,Calm. Lord Hanuman
Danvir,Male,Charitable
Darpad,Male,Lord Shiva
Darpak,Male,"Kamdev, god of love"
Darpan,Male,Mirror
Darsh,Male,Lord Krishna
Darshak,Male,spectator
Darshan,Male,vision
Darshit,Male,"seen, vision"
Daruka,Male,Deodar tree
Dasharath,Male,the father of Lord Rama
Dasharathi,Male,Lord Rama
Datta,Male,one who is given
Dattatreya,Male,"A son of Atri, a god"
Dattey,Male,Lord Indra
Daya,Male,mercy
Dayaal,Male,kind hearted
Dayakar,Male,Merciful Lord Shiva
Dayamay,Male,full of mercy
Dayanand,Male,who takes joy in being merciful
Dayanidhi,Male,kind person
Dayaram,Male,Merciful
Dayasagar,Male,"extremely kind, sea of mercy"
Dayashankar,Male,Merciful Lord Shiva
Dayaswarup,Male,merciful
Debashish,Male,Pleased by godsq
Debjit,Male,One who has conquered Gods
Deenabandhu,Male,friend of the poor
Deenadayaal,Male,humble and merciful
Deenanath,Male,lord of the poor
Deenbabdhu,Male,brother of poor people
Deep,Male,a lamp
Deepak,Male,"light, candle"
Deepan,Male,lighting up
Deepankar,Male,one who lights the lamp
Deependra,Male,lord of lights
Deependu,Male,bright moon
Deepesh,Male,lord of light
Deepit,Male,lighted
Deeptanshu,Male,the sun
Deeptendu,Male,bright moon
Deeptiman,Male,lustrous
Deeptimoy,Male,lustrous
Dehabhuj,Male,Another name for lord Shiva
Dev,Male,"god, king"
Devaapi,Male,an ancient king
Devabrata,Male,a name of Bhishma
Devadas,Male,follower of god
Devadatt,Male,gift of the God
Devadeva,Male,Lord of All Lords
Devagya,Male,with knowledge of God
Devaj,Male,From God
Devajyoti,Male,brightness of the lord
Devajuta,Male,The one with the Good
Devak,Male,Divine
Devakeenandan,Male,name of Lord Krishna
Devakumar,Male,son of a god
Deval,Male,name of a saint
Devanand,Male,joy of God
Devang,Male,Part of god
Devank,Male,Godly
Devansh,Male,Part of God
Devarshi,Male,Sage of the Gods
Devashish,Male,Blessing of God
Devbrata,Male,Bhishma
Devdarsh,Male,Worshipper of God
Devdas,Male,Servant of god
Devdatta,Male,Given by God
Deveedaas,Male,servant of the god
Devendra,Male,king of Gods
Devendranath,Male,lord of the king of Gods
Devesh,Male,Lord Shiva
Deveshwar,Male,Lord Shiva
Devguru,Male,teacher of Gods ( Brihaspati )
Devidas,Male,servant (devotee) of Godess
Devi,Male,Goddess
Devilaal,Male,son of Devi
Deviprasad,Male,Gift of godess
Devkinandan,Male,son of Devki;(Lord Krishna)
Devkumar,Male,son of gods
Devnarayan,Male,king
Devnath,Male,king of gods
Devpad,Male,Divine feet
Devraaj,Male,"king among gods, name of Indra"
Devrat,Male,Spiritual
Devsena,Male,army of gods
Devvrata,Male,name of an ancient king
Dewansh,Male,Part of God
Dhairya,Male,Patience
Dhananad,Male,pleasure of having wealth
Dhananjay,Male,one who wins wealth
Dhanapati,Male,lord of wealth
Dhanesh,Male,lord of wealth
Dhanraj,Male,Lord Kuber
Dhansukh,Male,wealthy; happy
Dhanush,Male,The Bow
Dhanvant,Male,wealthy
Dhanvantari,Male,doctor of Gods
Dhanvin,Male,Lord Shiva
Dhanvine,Male,A Name for Lord Rama
Dhanya,Male,Giver Of Wealth. Lord Vishnu
Dharamnishth,Male,one who has faith in religion
Dharanidhar,Male,Sheshnaag
Dharitree,Male,the earth
Dharma,Male,"religion, nature, law"
Dharmadaas,Male,servant of religion
Dharmadev,Male,lord of religion
